NOMEDEP;DE;DISTR;MUN;TIPOESC;COD_ESC;NOMESC;DS_PAIS;Nº alunos
ESTADUAL - SE;CAIEIRAS;JORDANESIA;CAJAMAR;06;0458405;CEL JTO A EE WALTER RIBAS DE ANDRADE PROF;Bolívia;1
ESTADUAL - OUTROS;REGISTRO;REGISTRO;REGISTRO;11;0444728;REGISTRO ETEC DE;Japão;3
ESTADUAL - OUTROS;SAO JOAO DA BOA VISTA;SAO JOSE DO RIO PARDO;SAO JOSE DO RIO PARDO;11;0294883;ETEC PROFESSOR RODOLPHO JOSÉ DEL GUERRA;Cuba;1
ESTADUAL - SE;ADAMANTINA;DRACENA;DRACENA;08;0031264;9 DE JULHO;Espanha;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0011873;LUIZ HIPOLITO PROFESSOR;Paraguai;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0016949;OCTAVIO SOARES DE ARRUDA PROF;Japão;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017176;MAGI MONSENHOR;Haiti;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017322;JOAO SOLIDARIO PEDROSO PROF;Argentina;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0039846;ANTONIO ZANAGA PREFEITO;Haiti;5
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0039846;ANTONIO ZANAGA PREFEITO;Japão;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0042473;CONSTANTINO AUGUSTO PINKE PROF;Bolívia;3
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0435442;MARIA FRIZZARIN PROFA;Espanha;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0903772;NIOMAR APPARECIDA MATTOS GOBBO AMARAL GURGEL PROFA;Haiti;1
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;08;0017309;JOAO THIENNE DR;Haiti;1
ESTADUAL - SE;AMERICANA;NOVA ODESSA;NOVA ODESSA;08;0903784;ALEXANDRE BASSORA;Bolívia;1
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0039330;MARIA JOSE MARGATO BROCATTO PROFA;Haiti;5
ESTADUAL - SE;AMERICANA;SANTA BARBARA D'OESTE;SANTA BARBARA D'OESTE;08;0047016;ALCHESTE DE GODOY ANDIA PROFA;Bolívia;2
ESTADUAL - SE;ANDRADINA;ANDRADINA;ANDRADINA;08;0029373;ALVARO GUIAO DR;Paraguai;1
ESTADUAL - SE;ANDRADINA;ANDRADINA;ANDRADINA;08;0029609;JOAO BREMBATTI CALVOSO;Portugal;1
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0029749;CLOVIS DE ARRUDA CAMPOS DR;Venezuela;2
ESTADUAL - SE;ARACATUBA;ARACATUBA;ARACATUBA;08;0029890;GENESIO DE ASSIS PROF;Japão;1
ESTADUAL - SE;ARARAQUARA;ARARAQUARA;ARARAQUARA;08;0021854;BENTO DE ABREU;Angola;1
ESTADUAL - SE;ARARAQUARA;ARARAQUARA;ARARAQUARA;08;0021957;AUGUSTO DA SILVA CESAR PROF;Japão;1
ESTADUAL - SE;ARARAQUARA;MATAO;MATAO;08;0911896;GUERINO VEDOATO;Argentina;2
ESTADUAL - SE;ARARAQUARA;RINCAO;RINCAO;08;0021878;PEDRO MORGANTI COMENDADOR;Peru;1
ESTADUAL - SE;ARARAQUARA;VILA XAVIER;ARARAQUARA;08;0021994;DORIVAL ALVES;Venezuela;2
ESTADUAL - SE;ASSIS;ASSIS;ASSIS;08;0033182;FRANCISCA RIBEIRO MELLO FERNANDES PROFA;Bolívia;1
ESTADUAL - SE;ASSIS;ASSIS;ASSIS;08;0033212;CLEOPHANIA GALVAO DA SILVA PROFA;Argentina;2
ESTADUAL - SE;ASSIS;ASSIS;ASSIS;08;0033236;LOURDES PEREIRA PROFA;Nova Zelândia (Aotearoa);1
ESTADUAL - SE;ASSIS;PARAGUACU PAULISTA;PARAGUACU PAULISTA;08;0033339;ISIDORO BAPTISTA;Japão;2
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Costa do Marfim;6
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Países Baixos (Holanda);3
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Roménia;3
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Rússia;3
ESTADUAL - SE;AVARE;ITAI;ITAI;15;0453572;PENITENCIARIA CABO P M MARCELO PIRES DA SILVA;Ucrânia;1
ESTADUAL - SE;BARRETOS;BARRETOS;BARRETOS;08;0022214;BENEDITO PEREIRA CARDOSO PROFESSOR;Peru;1
ESTADUAL - SE;BARRETOS;BARRETOS;BARRETOS;08;0022263;ALMEIDA PINTO;Luxemburgo;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0025318;JOSE VIRANDA PROF;Argentina;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0025501;VERA CAMPAGNANI PROFA;Japão;1
ESTADUAL - SE;BAURU;BAURU;BAURU;08;0025525;JOSE APARECIDO GUEDES DE AZEVEDO PROF;Peru;2
ESTADUAL - SE;BAURU;PIRAJUI;PIRAJUI;08;0026136;ALFREDO PUJOL DR;Japão;1
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0030259;VICENTE FELICIO PRIMO;Suriname;1
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0043102;LYDIA HELENA FRANDSEN STUHR PROFESSORA;Portugal;3
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0905938;HERMINIO CANTISANI PROFESSOR;Paraguai;1
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0905938;HERMINIO CANTISANI PROFESSOR;Venezuela;2
ESTADUAL - SE;BIRIGUI;BIRIGUI;BIRIGUI;08;0917643;GERACINA DE MENEZES SANCHES PROFESSORA;Japão;1
ESTADUAL - SE;BOTUCATU;PEREIRAS;PEREIRAS;08;0016445;EGILDO PASCHOALUCCI VEREADOR;Haiti;3
ESTADUAL - SE;BRAGANCA PAULISTA;ATIBAIA;ATIBAIA;08;0017929;ZILAH BARRETO PACITTI PROFESSORA;Chile;1
ESTADUAL - SE;BRAGANCA PAULISTA;ATIBAIA;ATIBAIA;08;0042584;JOSE PIRES ALVIM;Argentina;1
ESTADUAL - SE;BRAGANCA PAULISTA;ATIBAIA;ATIBAIA;08;0498452;JULIO CESAR FLORIDO RAFAELI PROFESSOR;Venezuela;1
ESTADUAL - SE;BRAGANCA PAULISTA;ATIBAIA;ATIBAIA;08;0905410;MARIA CECILIA TEIXEIRA PINTO PROFESSORA;Venezuela;2
ESTADUAL - SE;BRAGANCA PAULISTA;BOM JESUS DOS PERDOES;BOM JESUS DOS PERDOES;08;0020850;MANOEL FERRAZ PROFESSOR;Haiti;1
ESTADUAL - SE;CAIEIRAS;CAJAMAR;CAJAMAR;08;0005538;SUZANA DIAS;Bolívia;1
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0048781;ULYSSES SANCHES RAMIRES PROF;Bolívia;2
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0906232;LYDIA SCALET WALKER PROFA;Argentina;1
ESTADUAL - SE;CAIEIRAS;FRANCISCO MORATO;FRANCISCO MORATO;08;0913443;JOSE DE BARROS MARTINS EDITOR;Paraguai;1
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;08;0005708;DOMINGOS CAMBIAGHI PROF;Argentina;1
ESTADUAL - SE;CAIEIRAS;FRANCO DA ROCHA;FRANCO DA ROCHA;08;0923643;JOCIMARA VIEIRA DA SILVA PROFA;Haiti;1
ESTADUAL - SE;CAMPINAS LESTE;BARAO DE GERALDO;CAMPINAS;08;0018867;FRANCISCO ALVARES PROFESSOR;Venezuela;1
ESTADUAL - OUTROS;CENTRO SUL;BELA VISTA;SAO PAULO;11;0299364;MARIA AUGUSTA SARAIVA DRA ETEC;Peru;1
ESTADUAL - OUTROS;CENTRO SUL;VILA PRUDENTE;SAO PAULO;11;0001946;JOSE ROCHA MENDES ETEC;Japão;1
ESTADUAL - OUTROS;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;PRESIDENTE PRUDENTE;11;0032037;ANTONIO EUFRASIO DE TOLEDO PROF DR ETEC;Japão;1
ESTADUAL - OUTROS;REGISTRO;REGISTRO;REGISTRO;11;0444728;REGISTRO ETEC DE;Alemanha;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0016949;OCTAVIO SOARES DE ARRUDA PROF;Itália;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0016950;RISOLETA LOPES ARANHA PROFESSORA;Japão;1
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0016974;SAO VICENTE DE PAULO;Bolívia;2
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017139;MARIA JOSE DE MATTOS GOBBO PROFA;Bolívia;5
ESTADUAL - SE;AMERICANA;AMERICANA;AMERICANA;08;0017152;MAURA ARRUDA GUIDOLIN PROFA;Haiti;7
